"phenotypeID" "num_of_snps" "num_of_pos_snsps" "proportion_of_pos_snps" "mean_beta" "pos_to_neg_effect_weight"
"359" "PGS001188" 32 22 0.6875 0.005873274003125 3.02554025825641
"360" "PGS001189" 24 15 0.625 0.000296011541666667 2.96729812840509
"361" "PGS001190" 37 20 0.540540540540541 8.38406789189189e-05 1.39218773287926
"362" "PGS001191" 28 13 0.464285714285714 0.000127738473928571 1.66682504056231
"363" "PGS001192" 6 4 0.666666666666667 -0.00193513985 0.425704570245129
"364" "PGS001193" 21 14 0.666666666666667 0.000432055118095238 7.26185593136468
"365" "PGS001194" 6 5 0.833333333333333 0.000682071688333333 26.0188913736691
"366" "PGS001195" 27 15 0.555555555555556 -0.000465541298888889 0.447126091449183
"367" "PGS001196" 30 14 0.466666666666667 -0.000312765533 0.446088336865295
"368" "PGS001197" 5 3 0.6 0.000719420332 14.2263695542505
"369" "PGS001198" 14 10 0.714285714285714 0.00039013764 9.24213140565682
"370" "PGS001199" 4 1 0.25 -0.000893997875 0.370668950050337
"371" "PGS001200" 37 13 0.351351351351351 -0.000487158829864865 0.622698721797449
"372" "PGS001201" 16 10 0.625 0.00016363065525 5.12814677610858
"373" "PGS001202" 3 1 0.333333333333333 -0.000140922033333333 0.723139985766892
"374" "PGS001203" 3 2 0.666666666666667 -0.00095350467 0.112303524607893
"375" "PGS001204" 1 0 0 -0.0009830003 0
"376" "PGS001207" 14 7 0.5 0.0123398150714286 6.34949088965819
"377" "PGS001208" 16 7 0.4375 -0.002188147645 0.387178338161646
"378" "PGS001209" 11 5 0.454545454545455 -0.00174771627272727 0.562292030486432
"379" "PGS001210" 19 12 0.631578947368421 0.0241403320473684 2.77650365704279
"380" "PGS001211" 30 19 0.633333333333333 8.38630416666667e-05 1.4005342163391
"381" "PGS001212" 17 13 0.764705882352941 0.00103665054705882 13.7936967121058
